x,y
11.242790,63.029741
12.527062,68.419913
10.576511,68.796956
13.240665,76.089166
9.658729,8.398180
10.091624,67.300572
8.297358,11.963500
8.112781,14.128000
10.409219,14.128000
8.383657,17.375000
10.138343,17.375000
10.138218,19.539500
8.383782,19.539500
10.409219,21.704000
8.383782,22.786500
10.138343,23.869000
10.138343,26.033000
8.383657,26.033000
8.112781,28.198000
10.409219,28.198000
8.112656,31.444500
10.138093,30.362000
10.138093,32.527000
8.112781,35.774000
10.138218,34.691500
10.138343,36.856000
8.383782,39.020500
10.138218,39.020500
10.138343,41.185000
8.383657,41.185000
10.409344,43.349500
8.383907,44.432000
10.138093,45.514000
10.138093,47.679000
8.383907,47.679000
10.409219,49.843000
8.383782,50.925500
8.112781,53.090000
10.138343,52.008000
10.138343,54.172000
8.112781,56.337000
10.409219,56.337000
10.781872,58.501500
10.362650,59.579210
10.362650,57.459347
8.867821,58.769279
4.301641,1.768227
2.429533,1.923009
7.111313,3.659524
8.686891,13.086837
8.686891,15.613836
9.835109,13.156739
9.835109,20.676665
9.835109,22.731615
8.686891,27.170385
8.686891,29.683751
9.835109,29.225055
8.763552,33.609000
9.835172,42.322173
9.835172,44.376792
9.835109,48.815945
8.686891,52.062665
9.835109,50.870615
8.686891,54.851164
9.835109,55.309385
9.641565,59.239315
7.921258,58.501500
8.044114,57.421647
5.071793,1.918791
1.924920,2.608393
1.887175,1.097802
2.794669,1.074383
7.801752,13.046000
9.263880,12.257552
7.852314,15.210500
8.686891,14.760004
9.791780,15.186920
7.946563,16.293000
10.716909,13.046000
8.653264,20.690293
9.261000,19.914658
10.586989,20.268098
10.719995,22.786500
9.138466,23.526459
9.098476,22.468979
7.802005,27.115500
9.261000,26.408209
10.092108,27.138230
7.852590,29.280000
8.686891,28.829955
8.686828,30.657743
7.926452,30.176717
9.343361,30.170789
10.719822,29.280000
7.843807,33.609000
8.055354,32.536329
8.303680,34.651075
8.653322,42.335754
9.261000,41.560099
10.587089,41.913635
10.719848,44.432000
9.138712,45.171259
9.098509,44.114423
8.653552,48.829458
9.261000,48.054108
10.587064,48.407489
7.802168,52.008000
9.423530,52.325089
10.719995,50.925500
9.126031,51.336634
8.686891,55.704996
7.852314,55.254500
7.946563,54.172000
9.453274,54.598471
10.587045,54.900741
9.200831,57.597384
10.616548,14.958359
9.601812,16.338494
8.136288,21.689258
7.783918,20.622000
8.076224,23.869000
10.651813,26.608062
9.396226,27.448272
9.226141,34.435652
9.832887,33.553364
8.136219,43.334730
7.783971,42.267000
8.076385,45.514000
8.136299,49.828266
7.784087,48.761000
8.708654,56.942260
9.717829,56.990436
10.469378,15.913260
9.261000,17.172026
8.793081,24.273708
10.600701,33.223125
8.793425,45.918752
7.995576,24.951000
7.995761,46.596500
8.882456,5.802581
9.342888,6.863473
7.913748,5.719078
7.176613,6.462158
8.484929,5.038821
9.888122,7.551118
8.856456,7.755970
9.357062,60.667646
8.828548,62.304623
9.252577,61.537719
11.927034,70.454635
12.880592,70.781816
12.869927,69.941060
13.209144,71.571832
11.270390,67.280035
11.506063,66.305146
9.316216,10.269207
7.962961,60.329915
10.442602,8.798209
9.698915,9.197731
7.915523,11.213266
10.367195,18.457263
8.084175,18.457267
10.366870,24.951000
10.367552,31.444500
10.367195,35.773737
9.261000,39.206317
9.099126,37.806982
8.030654,37.938000
8.686891,36.751223
9.432235,36.531852
7.900374,37.091137
10.437825,37.938267
9.724277,38.323316
9.801913,37.531666
10.367195,40.102737
8.084175,40.102733
10.367552,46.596500
10.366870,53.090000
7.802193,4.014905
0.859516,1.032975
9.011048,11.424234
9.096467,32.474394
10.615933,16.714804
10.617596,34.035466
7.247909,7.258716
8.369615,61.659101
11.787822,69.712782
11.506231,71.287361
11.069421,70.363811
13.300941,72.487337
12.170836,66.825406
11.963469,72.618849
12.605293,74.327992
13.553723,73.927567
13.891206,74.725568
9.719314,64.416450
9.903426,63.654606
9.074334,63.983876
8.834180,53.910893
